time,coin,dir,px,sz,ntl,fee,closedPnl
11/22/2025 - 14:14:41,LAYER,Close Short,0.2679688182,43070,11541.416999874,4.985884,-158.436464
11/22/2025 - 14:15:36,SUI,Open Long,1.3295205634,27577.7,36665.11924127618,15.839325,-15.839325
11/22/2025 - 14:43:42,SUI,Open Long,1.3170122411,1168.2,1538.53370005302,0.664645,-0.664645
11/23/2025 - 05:15:36,SUI,Close Long,1.3943936435,8336.3,11624.083730309048,5.021601,540.036066
11/23/2025 - 05:23:03,SUI,Close Long,1.4029516032,5102.4,7158.42026016768,3.092434,374.18720199999996
11/23/2025 - 05:24:56,SUI,Close Long,1.399471852,7806.6,10925.1169598232,4.719646,545.347848
11/23/2025 - 05:26:46,SUI,Close Long,1.3998859571,7500.6,10499.98460982426,4.53599,527.076214
11/23/2025 - 05:32:48,SUI,Open Short,1.3994,28,39.1832,0.005642,-0.005642
11/23/2025 - 05:32:50,SUI,Open Short,1.3994,1106.8,1548.85592,0.223034,-0.223034
11/23/2025 - 05:32:50,SUI,Open Short,1.3994,772.5,1081.0365,0.155669,-0.155669
11/23/2025 - 05:32:51,SUI,Open Short,1.3994,34.8,48.69911999999999,0.007012,-0.007012
11/23/2025 - 05:32:52,SUI,Open Short,1.3994,178,249.0932,0.035869,-0.035869
11/23/2025 - 05:32:53,SUI,Open Short,1.3994,15240.8,21327.97552,3.071228,-3.071228
11/23/2025 - 05:32:53,SUI,Open Short,1.3994,263,368.0422,0.052997,-0.052997
11/23/2025 - 05:32:53,SUI,Open Short,1.3994,3798.7,5315.90078,0.765489,-0.765489
11/23/2025 - 05:35:29,SUI,Open Short,1.400711934,4189.7,5868.5627898798,2.535218,-2.535218
11/23/2025 - 06:55:56,SUI,Close Short,1.3754953948,25612.3,35229.600700236035,15.219181,602.4113219999999
11/23/2025 - 17:07:46,SUI,Open Short,1.3797,902.9,1245.73113,0.179385,-0.179385
11/23/2025 - 17:07:46,SUI,Open Short,1.3797,342.1,471.99537,0.067967,-0.067967
11/23/2025 - 17:07:59,SUI,Open Short,1.3797,1805.8,2491.46226,0.35877,-0.35877
11/23/2025 - 17:08:00,SUI,Open Short,1.3797,17906.6,24705.736019999997,3.557625,-3.557625
11/23/2025 - 17:08:01,SUI,Open Short,1.3797,304.8,420.53256,0.060556,-0.060556
11/23/2025 - 17:08:01,SUI,Open Short,1.3797,142.9,197.15913,0.02839,-0.02839
11/23/2025 - 17:08:01,SUI,Open Short,1.3797,3314.2,4572.601739999999,0.658454,-0.658454
11/23/2025 - 17:08:34,SUI,Open Short,1.383,1428.4,1975.4772,0.853405,-0.853405
11/23/2025 - 17:42:14,SUI,Open Short,1.3833,988.8,1367.80704,0.590891,-0.590891
11/23/2025 - 17:48:26,SUI,Open Short,1.3823868289,1236.8,1709.73602998352,0.738604,-0.738604
11/23/2025 - 20:38:20,SUI,Open Short,1.3853671763,1059.6,1467.9350600074797,0.634147,-0.634147
11/24/2025 - 02:06:32,SUI,Close Short,1.3582,29432.9,39975.764780000005,17.26953,632.903231
11/24/2025 - 02:23:49,SUI,Open Long,1.3521,627.5,848.44275,0.122175,-0.122175
11/24/2025 - 02:23:49,SUI,Open Long,1.3521,800.9,1082.89689,0.155937,-0.155937
11/24/2025 - 02:23:49,SUI,Open Long,1.3521,1075.5,1454.1835500000002,0.209401,-0.209401
11/24/2025 - 02:23:49,SUI,Open Long,1.3521,20463.3,27668.42793,3.984251,-3.984251
11/24/2025 - 02:23:49,SUI,Open Long,1.3521,506.1,684.29781,0.098538,-0.098538
11/24/2025 - 02:24:06,SUI,Open Long,1.3500949704,1469.3,1983.69454000872,0.856955,-0.856955
11/24/2025 - 02:32:15,SUI,Open Long,1.3491260304,1276.2,1721.75463999648,0.743797,-0.743797
11/24/2025 - 02:37:31,SUI,Open Long,1.3462,1287.7,1733.5017400000002,0.748872,-0.748872
